date_popularity,popularity
2015-12-13,41
2015-12-20,39
2015-12-27,40
2016-01-03,43
2016-01-10,36
2016-01-17,39
2016-01-24,38
2016-01-31,41
2016-02-07,39
2016-02-14,39
2016-02-21,42
2016-02-28,42
2016-03-06,41
2016-03-13,38
2016-03-20,41
2016-03-27,38
2016-04-03,39
2016-04-10,38
2016-04-17,40
2016-04-24,39
2016-05-01,36
2016-05-08,37
2016-05-15,39
2016-05-22,41
2016-05-29,41
2016-06-05,35
2016-06-12,34
2016-06-19,42
2016-06-26,38
2016-07-03,36
2016-07-10,33
2016-07-17,35
2016-07-24,34
2016-07-31,36
2016-08-07,34
2016-08-14,32
2016-08-21,33
2016-08-28,32
2016-09-04,33
2016-09-11,38
2016-09-18,34
2016-09-25,35
2016-10-02,32
2016-10-09,33
2016-10-16,36
2016-10-23,35
2016-10-30,35
2016-11-06,30
2016-11-13,37
2016-11-20,34
2016-11-27,39
2016-12-04,37
2016-12-11,34
2016-12-18,29
2016-12-25,29
2017-01-01,35
2017-01-08,33
2017-01-15,32
2017-01-22,30
2017-01-29,33
2017-02-05,31
2017-02-12,33
2017-02-19,34
2017-02-26,36
2017-03-05,34
2017-03-12,32
2017-03-19,36
2017-03-26,36
2017-04-02,82
2017-04-09,83
2017-04-16,85
2017-04-23,85
2017-04-30,100
2017-05-07,79
2017-05-14,86
2017-05-21,82
2017-05-28,83
2017-06-04,81
2017-06-11,75
2017-06-18,83
2017-06-25,78
2017-07-02,67
2017-07-09,70
2017-07-16,72
2017-07-23,75
2017-07-30,78
2017-08-06,76
2017-08-13,67
2017-08-20,62
2017-08-27,68
2017-09-03,71
2017-09-10,67
2017-09-17,72
2017-09-24,74
2017-10-01,71
2017-10-08,68
2017-10-15,73
2017-10-22,73
2017-10-29,71
2017-11-05,70
2017-11-12,69
2017-11-19,64
2017-11-26,66
2017-12-03,64
2017-12-10,56
2017-12-17,50
2017-12-24,54
2017-12-31,50
2018-01-07,56
2018-01-14,58
2018-01-21,60
2018-01-28,58
2018-02-04,63
2018-02-11,59
2018-02-18,60
2018-02-25,72
2018-03-04,68
2018-03-11,59
2018-03-18,60
2018-03-25,65
